Symbol ,Series ,LTP ,%chng ,New 52W/H price ,Prev.High ,Prev. High Date 
SOLARINDS,EQ,20580,2.4,20649,20422,18-Aug-2026
SOMANYCERA,EQ,555,-0.62,565,564.95,26-Aug-2026
SPELS,EQ,152.9,6.47,157,154,17-Aug-2026
STLTECH,BE,695.85,4.99,695.85,683.5,13-Aug-2026
SUPTANERY,BE,13.35,4.95,13.35,12.72,26-Aug-2026
TBZ,EQ,303,-0.92,312.7,309.2,26-Aug-2026
TECHNOCRAF,EQ,359.7,4.66,373.65,349.6,24-Aug-2026
TFCILTD,EQ,141.55,0.4,146,143.74,26-Aug-2026
TITAN,EQ,5139.3,0.77,5186.7,5168,11-Aug-2026
TUTIALKA,EQ,58.76,-0.2,62.7,60.89,26-Aug-2026
UFLEX,EQ,632.9,-2.7,660.5,656.75,26-Aug-2026
VINSYS,ST,607,1.18,610.9,610,26-Aug-2026
VTMLTD,EQ,57,6.13,57.8,54.84,26-Aug-2026
WELCORP,EQ,2406,4.3,2437.3,2433.9,25-Aug-2026
YATHARTH,EQ,980.8,1.61,982,972,26-Aug-2026
