Symbol ,Series ,LTP ,%change ,New 52W/L price ,Prev. Low ,Prev. Low Date 
TEJA,SM,233.1,-10,233.1,259,28-Aug-2026
TERAI,EQ,121.6,5.74,103,106.35,25-Aug-2026
TICL,BE,8.75,-3.74,8.64,8.91,29-Jul-2026
TRANSRAILL,EQ,437.85,-3.29,435.65,450.05,27-Jan-2026
TRANSTEEL,SM,75,-8.03,73.4,79,17-Aug-2026
UTIAMC,EQ,875.45,-1.38,873.5,876,24-Jul-2026
VEDAVAAG,EQ,18.28,-0.27,16.98,18,28-Aug-2026
VESUVIUS,EQ,415.1,-1.53,415.1,418.3,28-Aug-2026
VIJSOLX,EQ,680,-1.45,665.6,675,18-Aug-2026
VOLTAS,EQ,1202.2,0.18,1182.8,1186.8,02-Apr-2026
WAAREEINDO,EQ,270.85,-1.95,269,269.2,28-Aug-2026
YAAP,SM,125,-3.85,123.75,127,05-Mar-2026
